AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
8.6,0.0,3.23,5.38,3.23,6.45,2.15,5.38,1.08,11.83,1.08,1.08,5.38,2.15,13.98,8.6,6.45,9.68,2.15,2.15
11.63,0.45,5.59,3.8,3.8,7.61,1.12,4.25,2.68,9.62,1.12,4.7,6.26,3.58,3.13,9.84,6.71,7.38,2.01,4.7
6.45,12.9,1.61,3.23,4.84,11.29,0.0,6.45,6.45,8.06,3.23,0.0,4.84,6.45,3.23,3.23,9.68,4.84,0.0,3.23
12.33,0.0,9.59,9.59,0.0,6.85,0.0,5.48,2.74,13.7,1.37,2.74,4.11,0.0,10.96,4.11,6.85,8.22,0.0,1.37
6.88,0.36,4.71,7.37,4.11,5.68,3.74,2.9,6.88,8.45,1.81,3.26,8.7,4.47,6.76,9.42,3.99,4.95,1.33,4.23
10.13,0.0,7.59,10.13,1.27,2.53,0.0,6.33,11.39,8.86,3.8,2.53,3.8,0.0,8.86,11.39,3.8,3.8,0.0,3.8
6.28,5.02,4.18,8.37,3.77,8.79,1.26,3.77,6.28,7.11,2.93,6.69,2.51,1.67,6.69,8.37,5.44,5.86,0.84,4.18
7.53,1.67,2.93,2.09,7.11,4.18,2.51,10.04,3.35,14.64,2.51,2.09,3.35,2.09,2.09,7.53,6.69,10.04,1.67,5.86
4.26,2.41,6.96,4.55,5.11,7.81,2.7,6.82,4.12,7.24,2.27,4.83,3.55,5.26,4.97,8.52,6.53,6.25,1.99,3.84
6.79,0.0,7.62,6.79,4.71,8.59,1.11,7.48,7.62,5.82,0.55,6.79,4.16,2.08,3.6,6.23,7.89,7.89,0.83,3.46
20.73,1.51,4.54,0.86,1.73,6.91,1.73,1.3,0.22,15.12,1.94,2.16,8.21,4.97,9.07,4.32,4.75,6.26,2.16,1.51
3.95,0.76,6.69,5.32,4.26,4.79,1.06,10.19,8.14,8.67,1.9,9.2,4.03,3.27,2.89,7.53,5.55,4.79,0.99,6.01
6.4,2.4,5.2,6.4,4.4,8.8,2.4,9.2,5.6,10.8,3.6,3.6,2.8,6.0,6.4,6.4,5.6,2.0,0.0,2.0
2.04,7.14,5.1,4.08,3.06,9.18,2.04,7.14,8.16,7.14,4.08,9.18,3.06,0.0,3.06,3.06,6.12,5.1,2.04,9.18
2.54,1.69,7.2,5.51,4.24,2.97,2.12,8.05,11.02,6.78,2.12,8.05,2.54,3.39,2.97,9.75,4.24,7.63,0.85,6.36
11.0,1.44,5.74,7.66,2.87,7.66,2.39,6.7,3.83,7.66,5.26,2.39,3.83,2.87,6.7,7.18,4.31,6.7,0.48,3.35
4.0,0.0,5.5,10.25,5.0,5.0,1.62,8.5,12.88,8.62,1.0,7.62,2.88,3.5,2.62,6.88,4.75,4.38,0.75,4.25
7.87,0.31,3.15,3.46,0.79,9.76,3.62,1.73,2.36,5.35,3.62,4.57,11.02,6.77,4.88,11.81,8.66,4.57,0.63,5.04
11.63,0.0,10.47,9.3,1.16,2.33,2.33,1.16,3.49,13.95,2.33,2.33,4.65,3.49,15.12,2.33,4.65,8.14,0.0,1.16
8.0,4.0,2.0,8.0,6.0,4.0,0.0,4.0,8.0,16.0,2.0,2.0,4.0,0.0,4.0,2.0,8.0,14.0,0.0,4.0
7.69,7.69,9.23,9.23,4.62,6.15,1.54,4.62,6.15,7.69,3.08,3.08,1.54,3.08,1.54,7.69,6.15,6.15,0.0,3.08
5.77,3.37,3.85,4.81,2.4,9.62,3.37,0.96,8.65,14.9,1.44,2.4,5.77,2.4,6.25,6.73,5.77,7.69,0.0,3.85
10.91,1.26,5.74,5.63,4.25,6.31,2.41,5.05,4.71,9.18,2.64,3.44,4.59,4.59,5.63,7.35,6.08,6.89,1.38,1.95
24.39,0.0,3.66,7.32,1.22,7.32,1.22,8.54,6.1,8.54,2.44,1.22,4.88,0.0,1.22,4.88,2.44,12.2,0.0,2.44
2.04,12.24,2.04,11.22,3.06,12.24,1.02,1.02,6.12,3.06,1.02,5.1,8.16,3.06,5.1,8.16,5.1,4.08,2.04,4.08
8.97,0.0,5.52,4.83,5.52,6.9,6.21,3.45,2.76,9.66,1.38,2.07,8.28,1.38,8.97,3.45,4.83,11.72,2.07,2.07
3.75,0.63,6.57,6.41,4.69,5.16,2.11,7.04,6.65,9.23,2.11,6.72,3.83,5.0,3.75,7.19,6.25,6.49,1.72,4.69
6.67,10.0,1.67,3.33,1.67,5.0,1.67,8.33,8.33,6.67,8.33,3.33,5.0,1.67,5.0,5.0,8.33,3.33,0.0,6.67
7.7,0.31,5.54,6.37,2.87,8.11,2.16,4.93,3.9,8.83,1.13,6.57,3.59,4.72,6.67,7.7,7.49,5.13,1.44,4.83
5.74,4.24,3.24,2.74,5.24,3.74,2.0,9.73,2.99,8.98,3.49,5.74,5.99,1.75,4.74,8.23,9.48,6.73,1.75,3.49
3.77,0.0,9.43,16.98,5.66,3.77,0.0,9.43,18.87,13.21,3.77,0.0,0.0,0.0,5.66,1.89,3.77,0.0,0.0,3.77
15.38,0.0,3.85,6.15,1.54,2.31,4.62,5.38,0.77,10.77,1.54,0.0,6.15,4.62,7.69,7.69,6.15,8.46,5.38,1.54
6.7,1.37,3.5,4.26,6.09,7.46,1.83,6.7,5.63,11.87,3.35,4.72,3.96,3.2,4.41,8.37,5.94,6.39,0.76,3.5
5.84,1.3,6.17,4.87,9.74,3.9,2.27,8.44,6.49,12.66,2.27,2.6,1.95,1.3,4.87,6.17,4.22,7.14,2.6,5.19
4.64,0.96,7.38,13.25,3.42,4.37,1.64,6.83,10.93,8.47,2.73,4.23,2.87,3.42,4.1,5.74,5.87,5.19,0.55,3.42
6.02,7.52,3.01,7.52,4.51,5.26,2.26,3.76,9.77,6.77,0.75,1.5,3.76,6.77,2.26,8.27,9.02,5.26,0.75,5.26
5.88,7.35,6.37,1.96,2.94,12.25,2.45,2.94,3.92,6.37,0.98,7.35,2.45,4.41,2.45,9.8,5.88,7.35,2.94,3.92
4.96,1.75,3.79,2.33,3.5,10.79,0.87,4.37,2.62,7.87,1.46,7.29,4.08,3.5,2.92,11.95,10.2,9.91,1.75,4.08
12.33,6.85,4.11,6.85,5.48,1.37,5.48,5.48,8.22,5.48,4.11,5.48,4.11,2.74,2.74,5.48,4.11,5.48,0.0,4.11
7.56,0.84,3.92,6.16,4.2,5.88,2.8,6.72,3.92,10.92,3.08,4.2,4.2,5.04,5.32,6.16,7.0,7.56,0.56,3.92
12.93,0.86,0.86,7.76,2.59,9.48,0.86,5.17,6.9,7.76,2.59,5.17,0.86,8.62,6.03,6.9,3.45,6.9,0.86,3.45
3.1,1.36,6.59,6.2,5.04,2.52,3.49,7.56,8.91,12.79,1.36,6.98,3.68,5.23,3.29,8.53,6.2,3.1,0.78,3.29
12.14,0.0,5.2,3.47,4.62,13.29,1.73,4.62,4.62,8.09,1.16,2.89,2.89,3.47,2.89,10.4,4.05,6.36,3.47,4.62
5.89,1.05,7.58,6.11,2.53,4.0,1.89,8.63,7.79,8.84,1.68,9.26,2.53,6.53,2.11,8.0,5.68,4.0,1.68,4.21
7.41,1.18,4.93,6.46,5.56,6.24,2.31,5.11,4.75,9.09,3.48,4.7,6.65,3.93,7.55,5.88,4.93,5.56,1.36,2.94
5.75,1.15,2.3,9.2,6.9,9.2,1.15,5.75,5.75,10.34,3.45,1.15,6.9,2.3,2.3,16.09,3.45,3.45,3.45,0.0
3.92,9.8,2.94,8.82,6.86,4.9,0.0,2.94,12.75,5.88,1.96,3.92,4.9,1.96,3.92,8.82,3.92,7.84,2.94,0.98
11.18,2.63,2.63,3.29,3.95,7.24,1.32,1.32,5.26,10.53,6.58,0.66,9.21,3.29,8.55,5.92,5.92,8.55,0.66,1.32
6.17,1.32,4.85,5.84,5.29,6.5,1.65,6.39,6.28,10.24,3.41,4.3,4.19,3.52,4.74,7.49,6.28,6.28,1.76,3.52
7.18,3.19,5.85,8.78,3.99,7.71,2.66,4.79,6.91,8.78,1.06,3.46,4.52,3.19,5.05,5.32,4.52,9.04,0.53,3.46
3.51,1.17,4.68,9.36,4.68,5.26,1.75,6.43,10.53,11.11,2.92,7.02,5.26,4.09,2.34,7.02,4.09,3.51,0.58,4.68
4.02,0.0,8.04,9.82,6.25,3.57,1.34,10.71,6.7,9.82,1.34,8.48,2.68,3.57,4.02,4.91,3.57,4.91,1.34,4.91
7.69,7.69,4.62,4.62,5.38,9.23,1.54,3.85,7.69,8.46,2.31,5.38,6.92,0.0,1.54,10.77,3.08,6.15,0.77,2.31
15.12,0.0,8.14,8.14,1.16,3.49,2.33,6.98,3.49,16.28,1.16,1.16,4.65,3.49,9.3,4.65,5.81,2.33,1.16,1.16
3.59,1.2,7.19,14.37,1.2,2.99,0.6,0.6,8.98,13.77,1.2,6.59,1.8,7.19,13.77,1.8,2.4,4.79,5.99,0.0
5.83,2.26,5.36,5.95,5.6,6.19,2.02,4.88,6.07,11.79,2.62,4.29,4.64,3.1,5.12,7.26,5.71,5.95,1.31,4.05
7.62,9.52,3.81,12.38,2.86,4.76,2.86,1.9,7.62,10.48,2.86,0.95,4.76,1.9,6.67,4.76,3.81,5.71,2.86,1.9
9.14,2.66,2.33,2.99,4.82,8.31,2.49,5.32,2.66,13.95,2.33,2.16,3.65,4.49,3.82,8.14,5.65,10.63,1.83,2.66
11.95,0.0,4.41,10.48,1.84,10.11,0.0,6.8,6.62,7.9,3.68,4.04,2.76,2.76,4.41,3.86,7.17,10.29,0.18,0.74
11.52,0.39,3.12,3.32,6.84,7.23,0.59,7.42,2.15,12.3,3.52,2.34,6.64,2.54,4.49,8.2,6.45,5.08,2.73,3.12
4.35,2.9,0.0,10.14,1.45,5.8,0.0,5.8,15.94,7.25,2.9,5.8,1.45,2.9,4.35,11.59,8.7,2.9,1.45,4.35
4.0,10.67,4.0,4.0,4.0,9.33,2.67,2.67,4.0,12.0,4.0,5.33,1.33,1.33,13.33,2.67,5.33,8.0,1.33,0.0
9.76,2.44,6.5,4.07,4.88,7.32,1.9,5.69,3.79,7.59,1.9,3.25,5.96,5.69,7.05,5.42,6.23,7.59,1.63,1.36
4.67,0.93,0.0,0.0,7.48,3.74,0.0,10.28,4.67,16.82,2.8,2.8,8.41,0.93,0.0,14.95,12.15,3.74,0.93,4.67
6.33,0.61,4.69,8.16,5.71,6.73,1.63,5.31,6.94,10.61,2.65,8.16,3.67,2.65,3.88,5.71,6.53,4.08,1.22,4.69
3.53,0.78,5.57,7.06,4.16,4.4,0.94,10.36,7.22,8.16,1.18,11.3,3.3,1.96,3.69,8.32,5.42,5.26,1.1,6.28
9.93,0.0,5.3,4.64,3.97,3.97,1.99,11.26,6.62,14.57,1.99,7.95,1.99,2.65,1.99,3.97,8.61,5.96,0.66,1.99
5.9,1.11,6.24,5.73,3.68,6.42,2.14,5.05,2.48,8.9,1.11,7.27,3.85,6.24,5.65,7.7,6.84,6.84,1.37,5.47
3.7,11.11,4.94,3.7,4.94,9.88,0.0,6.17,7.41,3.7,2.47,6.17,2.47,3.7,2.47,7.41,6.17,8.64,0.0,4.94
6.96,2.53,2.85,6.33,6.01,9.49,1.9,3.16,4.11,11.71,2.22,2.22,4.11,4.43,6.01,11.08,4.75,5.38,1.58,3.16
5.91,1.61,4.3,7.53,6.45,9.68,3.23,8.6,3.23,8.06,3.23,5.38,5.91,3.23,4.3,3.23,6.99,5.38,2.15,1.61
3.1,0.78,7.36,6.59,4.65,5.04,2.33,7.36,12.4,10.47,1.16,8.14,2.33,3.49,2.71,6.98,5.04,5.04,0.39,4.65
5.37,1.13,5.28,7.79,4.5,7.01,1.99,6.32,2.94,8.05,0.95,6.58,4.42,3.98,6.23,8.14,6.32,6.75,1.47,4.76
5.16,1.08,6.45,8.39,4.52,6.02,1.94,6.45,9.68,11.83,2.15,6.45,2.8,3.23,3.87,6.88,3.23,5.16,0.86,3.87
12.46,0.0,3.91,3.56,4.27,8.9,2.14,2.85,7.83,10.32,1.78,4.27,7.12,3.56,3.91,4.98,7.47,7.83,1.42,1.42
7.69,1.28,6.41,5.13,1.28,7.69,0.0,7.69,7.69,11.54,2.56,2.56,1.28,5.13,3.85,7.69,8.97,7.69,1.28,2.56
8.92,1.45,5.81,6.22,3.32,7.47,2.28,5.81,3.73,10.17,2.07,2.7,6.43,4.77,6.43,6.85,4.77,6.64,1.66,2.49
9.33,1.33,7.33,4.67,1.33,5.33,2.0,3.33,2.0,8.0,1.33,0.67,6.0,4.67,16.0,8.67,6.67,9.33,0.67,1.33
6.2,0.58,3.75,4.04,2.31,8.66,3.75,2.02,2.02,11.4,2.31,3.17,13.56,5.05,5.05,15.73,5.05,2.89,0.43,2.02
4.05,9.46,4.05,8.11,2.7,2.7,2.7,14.86,9.46,4.05,1.35,5.41,1.35,1.35,12.16,6.76,5.41,4.05,0.0,0.0
15.11,1.44,4.32,6.47,0.72,10.79,0.0,1.44,0.72,16.55,0.72,0.0,3.6,2.88,14.39,5.04,5.76,7.91,0.72,1.44
2.96,0.0,4.93,6.4,1.97,5.91,2.46,7.88,12.32,7.88,0.99,8.37,2.46,3.45,3.94,7.88,5.91,8.37,0.49,5.42
10.89,3.63,5.84,4.67,3.24,7.91,3.11,4.15,2.08,8.82,2.08,2.59,5.84,4.02,8.43,9.34,4.67,5.32,1.17,2.2
10.26,8.97,5.13,11.54,5.13,8.97,0.0,1.28,1.28,8.97,3.85,5.13,2.56,1.28,6.41,1.28,7.69,5.13,0.0,5.13
9.93,1.54,5.78,4.91,3.09,6.84,2.53,4.91,3.32,10.32,2.69,3.72,4.43,4.19,5.74,9.02,5.74,7.75,1.31,2.25
2.8,3.27,7.94,6.31,5.61,2.34,2.1,8.18,8.41,9.81,2.57,8.88,3.04,1.4,2.57,5.84,4.21,4.67,0.47,9.58
4.07,0.0,4.88,5.69,3.25,10.57,4.07,6.5,5.69,3.25,1.63,8.13,1.63,4.88,3.25,10.57,11.38,4.07,0.81,5.69
11.99,0.95,6.62,7.89,2.21,5.36,0.63,8.2,6.94,10.41,1.58,3.47,3.15,4.73,5.05,5.05,5.68,5.05,1.26,3.79
1.69,1.69,3.39,5.08,3.39,6.78,3.39,11.86,8.47,13.56,8.47,1.69,5.08,0.0,1.69,5.08,8.47,5.08,1.69,3.39
6.61,1.12,6.41,5.7,7.73,5.29,1.42,7.32,8.75,8.85,3.05,6.61,2.64,3.46,3.46,6.92,4.78,5.49,0.41,3.97
12.2,1.02,2.71,1.69,5.76,9.15,2.03,7.46,2.37,14.58,5.08,2.03,2.37,1.69,1.36,7.46,5.42,11.86,1.36,2.37
6.33,4.43,6.33,3.16,3.8,6.96,3.8,2.53,5.7,10.13,1.9,6.33,4.43,2.53,5.06,8.86,4.43,4.43,5.7,3.16
7.87,0.0,5.57,6.23,2.62,5.57,0.33,3.93,4.59,10.82,2.95,4.26,7.87,6.56,4.92,6.56,5.57,10.49,1.64,1.64
4.05,2.7,8.11,4.5,4.05,5.86,3.15,4.05,5.86,6.31,3.15,6.76,4.5,3.6,4.5,7.66,6.76,5.41,1.8,7.21
5.31,3.54,1.77,6.19,5.31,7.96,3.54,3.54,2.65,11.5,5.31,2.65,2.65,4.42,7.96,12.39,7.08,6.19,0.0,0.0
4.75,3.17,6.07,1.32,6.07,7.12,3.17,6.33,7.92,11.61,2.64,5.01,5.54,2.37,3.17,7.92,5.54,6.07,0.26,3.96
17.31,1.44,5.77,3.85,4.33,1.92,3.85,2.4,0.96,13.46,2.4,2.4,7.69,2.4,10.58,5.77,7.69,3.37,1.44,0.96
5.26,8.42,6.32,7.37,5.26,7.37,2.11,3.16,4.21,5.26,1.05,5.26,8.42,2.11,3.16,4.21,5.26,7.37,2.11,6.32
12.5,1.97,3.95,6.14,3.07,4.61,2.85,3.51,3.29,12.28,1.75,2.85,5.04,5.48,6.58,8.11,7.24,6.36,1.1,1.32
6.57,0.66,7.36,4.99,5.39,7.62,2.1,4.99,5.91,7.23,2.1,5.12,4.99,3.29,6.31,6.57,6.18,4.99,2.1,5.52
15.49,0.0,4.23,8.45,1.41,11.27,0.0,4.23,5.63,7.04,1.41,0.0,7.04,2.82,12.68,4.23,2.82,8.45,0.0,2.82
5.43,0.0,7.61,3.26,3.26,4.35,4.35,5.43,10.87,14.13,3.26,3.26,4.35,4.35,5.43,4.35,5.43,3.26,2.17,5.43
13.1,1.79,5.95,4.17,5.95,5.95,0.6,5.95,4.17,8.93,0.6,5.95,3.57,5.36,2.98,5.95,7.14,10.71,0.0,1.19
13.46,1.57,5.42,9.7,3.32,6.82,1.4,3.85,3.15,5.16,1.92,3.41,11.36,3.67,6.38,7.08,4.46,5.16,0.87,1.84
5.48,2.28,5.94,8.22,1.37,1.83,3.2,8.68,9.13,9.13,4.57,3.2,1.37,8.22,4.57,5.94,7.76,6.39,0.91,1.83
5.8,3.71,4.94,5.13,4.28,5.04,1.52,6.56,8.08,7.89,2.66,7.89,3.14,4.56,5.42,7.03,5.7,4.94,1.52,4.18
9.64,7.23,6.02,1.2,4.82,10.84,0.0,3.61,3.61,9.64,6.02,4.82,2.41,1.2,6.02,8.43,4.82,7.23,2.41,0.0
7.28,0.56,7.84,7.84,5.88,8.96,2.52,7.84,4.76,7.0,1.96,3.92,3.08,4.2,6.16,4.76,4.76,5.88,0.56,4.2
5.3,0.76,6.06,8.33,5.3,3.79,4.55,6.82,8.33,5.3,5.3,4.55,5.3,3.79,3.03,6.06,6.82,6.06,1.52,3.03
8.02,0.8,4.61,6.61,6.21,4.81,2.81,5.81,4.01,9.22,2.0,4.41,6.01,3.61,7.62,6.01,6.61,5.41,2.0,3.41
7.07,10.1,5.05,2.02,3.03,4.04,1.01,4.04,8.08,8.08,2.02,5.05,3.03,3.03,5.05,11.11,8.08,4.04,2.02,4.04
14.38,0.68,8.22,9.59,3.42,8.22,1.37,2.74,2.74,10.27,2.05,0.68,2.74,3.42,6.85,5.48,5.48,8.9,0.0,2.74
13.04,8.7,4.35,11.3,1.74,4.35,0.0,6.09,6.09,5.22,1.74,1.74,3.48,1.74,6.96,7.83,2.61,6.09,2.61,4.35
6.25,7.5,10.0,1.25,2.5,6.25,1.25,6.25,7.5,12.5,5.0,3.75,1.25,3.75,6.25,7.5,6.25,2.5,1.25,1.25
3.77,7.95,5.02,7.11,4.18,2.09,2.51,5.44,8.37,6.28,1.26,7.95,3.35,4.6,2.51,7.11,9.21,5.86,0.42,5.02
6.67,7.33,7.0,4.33,2.67,9.67,3.33,4.0,3.0,6.0,3.67,5.0,4.67,6.33,4.67,5.33,5.0,5.0,2.67,3.67
9.41,1.18,4.71,10.59,0.0,7.06,1.18,4.71,1.18,12.94,3.53,4.71,7.06,3.53,7.06,4.71,5.88,7.06,1.18,2.35
11.01,1.83,9.17,7.34,5.5,9.17,2.75,6.42,0.92,5.5,1.83,2.75,3.67,3.67,5.5,6.42,1.83,11.01,2.75,0.92
11.57,2.24,4.85,5.22,3.36,7.46,2.99,5.6,4.48,9.33,2.24,2.99,5.22,3.73,4.85,7.84,6.34,7.09,0.75,1.87
10.0,0.77,3.85,8.46,0.77,6.92,1.54,2.31,3.85,17.69,1.54,3.08,6.15,4.62,9.23,6.15,4.62,6.92,0.0,1.54
7.61,2.28,6.85,6.85,4.06,7.11,1.78,7.11,5.84,7.36,2.03,5.08,4.57,2.28,4.31,7.11,5.84,8.88,0.0,3.05
14.63,0.0,3.66,10.98,3.66,3.66,1.22,0.0,0.0,10.98,3.66,1.22,6.1,13.41,14.63,6.1,2.44,1.22,2.44,0.0
6.1,1.48,5.91,7.48,3.15,7.19,2.26,4.92,12.5,8.76,2.36,3.35,4.72,3.15,3.05,7.87,4.82,6.5,1.38,3.05
2.27,0.76,9.09,9.85,6.82,1.52,1.52,11.36,9.85,8.33,1.52,8.33,1.52,1.52,5.3,9.85,3.79,4.55,0.0,2.27
1.25,11.25,5.0,0.0,5.0,8.75,3.75,7.5,12.5,8.75,2.5,1.25,2.5,3.75,0.0,10.0,5.0,7.5,0.0,3.75
9.85,0.76,7.58,6.06,7.58,3.03,3.79,6.06,6.06,11.36,3.03,4.55,5.3,4.55,7.58,2.27,3.79,3.03,1.52,2.27
2.64,1.32,7.05,9.69,5.73,4.85,1.76,7.49,9.69,8.37,2.2,3.08,4.85,3.08,4.41,4.85,3.96,8.37,3.08,3.52
6.67,13.33,3.33,0.0,1.67,10.0,0.0,3.33,3.33,6.67,3.33,3.33,15.0,6.67,1.67,6.67,1.67,10.0,1.67,1.67
12.36,0.74,2.58,3.51,6.27,10.15,1.11,7.56,3.32,12.36,2.21,1.48,4.24,3.69,2.77,8.49,5.35,7.2,1.85,2.77
7.34,1.83,6.24,7.71,0.92,6.61,1.65,9.54,6.61,8.44,4.04,3.49,3.3,4.59,6.42,5.87,6.24,6.79,0.73,1.65
14.42,0.31,4.6,3.37,2.76,7.98,1.23,6.13,3.37,11.04,3.07,2.76,7.67,3.37,4.29,6.13,5.52,9.82,0.61,1.53
7.06,2.35,0.0,0.0,1.18,4.71,7.06,2.35,7.06,7.06,14.12,4.71,1.18,7.06,16.47,1.18,0.0,1.18,1.18,14.12
4.9,8.82,2.94,2.94,0.98,5.88,2.94,5.88,12.75,10.78,0.98,2.94,1.96,7.84,0.0,5.88,4.9,11.76,0.98,3.92
4.58,3.88,5.05,4.82,4.35,5.52,2.35,4.58,6.23,9.64,2.35,6.82,6.93,3.88,3.53,7.64,6.23,5.41,1.41,4.82
2.9,1.45,5.43,5.8,6.88,3.62,0.36,10.87,8.7,9.06,3.26,7.25,0.36,1.45,4.35,12.68,3.99,5.43,1.45,4.71
2.12,0.98,6.69,4.73,5.71,4.24,1.96,10.28,6.53,7.67,1.79,12.07,3.43,2.28,2.28,8.81,6.53,3.59,0.98,7.34
4.26,9.57,5.32,4.26,4.26,9.57,1.06,8.51,9.57,5.32,4.26,4.26,6.38,1.06,1.06,4.26,4.26,4.26,1.06,7.45
9.68,3.83,4.5,4.73,2.48,7.21,4.95,2.48,2.25,10.36,2.03,2.48,7.88,4.95,5.63,12.39,5.86,4.73,0.23,1.35
7.45,9.57,11.7,6.38,3.19,5.32,0.0,1.06,9.57,10.64,3.19,0.0,3.19,2.13,5.32,6.38,0.0,8.51,2.13,4.26
3.16,2.37,3.56,1.98,10.67,4.74,1.58,13.44,3.56,13.83,2.37,3.56,3.95,0.79,3.56,9.49,1.98,7.51,1.58,6.32
10.66,1.65,5.33,6.62,3.12,6.99,1.47,7.54,7.72,8.46,3.31,3.49,3.68,5.15,4.6,4.41,5.33,7.9,0.55,2.02
6.91,2.13,4.26,6.74,3.9,7.09,1.95,5.85,4.96,8.87,1.77,3.72,10.46,3.19,6.21,6.91,4.43,5.67,1.6,3.37
6.49,6.49,3.9,7.79,5.19,3.9,2.6,10.39,12.99,9.09,2.6,2.6,1.3,1.3,2.6,3.9,5.19,5.19,0.0,6.49
6.16,1.7,6.16,4.88,4.03,7.86,1.7,3.61,5.94,6.58,0.85,6.79,3.4,4.03,5.31,8.49,6.58,8.49,2.76,4.67
7.07,0.0,7.76,4.66,4.83,6.72,3.1,4.14,4.83,8.1,3.62,4.66,5.34,4.14,4.83,6.9,5.69,6.03,2.41,5.17
2.7,0.0,8.56,12.16,4.5,5.41,0.9,11.26,12.16,9.01,2.7,3.6,1.8,0.45,5.86,1.8,3.6,4.95,0.9,7.66
12.63,1.05,6.32,6.32,0.0,6.32,3.16,2.11,4.21,11.58,4.21,0.0,6.32,7.37,8.42,4.21,7.37,6.32,2.11,0.0
1.1,0.0,3.3,6.59,5.49,4.4,1.1,9.89,19.78,7.69,1.1,6.59,6.59,3.3,6.59,2.2,0.0,5.49,1.1,7.69
4.95,4.02,7.12,6.5,5.57,6.81,1.86,6.5,7.12,12.07,2.17,4.02,5.26,4.02,5.57,4.33,3.1,4.33,0.93,3.72
4.94,7.41,6.17,6.17,4.94,4.94,0.0,9.88,11.11,8.64,2.47,2.47,7.41,1.23,3.7,3.7,6.17,3.7,3.7,1.23
7.06,3.53,1.96,3.14,6.27,4.71,3.53,8.63,4.31,9.02,3.92,3.53,4.31,3.92,3.92,6.27,5.1,6.27,3.14,7.45
2.99,11.94,1.49,1.49,1.49,5.97,2.99,4.48,8.96,11.94,2.99,11.94,2.99,1.49,4.48,5.97,4.48,5.97,0.0,5.97
5.88,9.41,5.88,2.35,2.35,5.88,3.53,5.88,8.24,5.88,2.35,3.53,3.53,1.18,4.71,8.24,0.0,11.76,1.18,8.24
6.09,1.02,6.09,5.58,5.92,5.08,2.71,4.57,4.23,7.45,1.69,5.25,5.58,6.26,5.08,7.45,6.09,6.77,2.88,4.23
18.31,4.93,2.11,0.0,3.52,6.34,0.0,2.11,2.82,5.63,2.82,0.0,9.15,0.7,10.56,17.61,6.34,2.82,2.82,1.41
11.9,1.83,5.49,4.58,2.97,4.81,3.43,3.89,0.92,14.19,2.06,2.75,4.81,5.95,7.78,7.09,5.03,8.47,0.69,1.37
4.48,5.97,5.97,1.49,5.97,10.45,2.99,1.49,0.0,11.94,4.48,7.46,7.46,2.99,7.46,1.49,8.96,7.46,1.49,0.0
9.86,0.0,7.8,3.49,5.95,11.91,2.46,5.13,3.9,5.54,0.41,7.8,2.26,5.13,1.85,8.21,7.19,5.54,1.64,3.9
5.41,9.46,9.46,1.35,6.76,10.81,0.0,4.05,8.11,5.41,6.76,0.0,6.76,5.41,4.05,4.05,9.46,1.35,0.0,1.35
9.09,2.6,2.6,10.39,9.09,1.3,1.3,6.49,7.79,9.09,3.9,2.6,2.6,3.9,7.79,6.49,1.3,6.49,2.6,2.6
10.81,10.81,6.76,6.76,0.0,8.11,0.0,1.35,2.7,14.86,1.35,2.7,4.05,5.41,6.76,5.41,8.11,4.05,0.0,0.0
14.29,6.72,3.36,10.92,0.84,5.04,0.84,6.72,6.72,6.72,1.68,4.2,0.84,3.36,3.36,8.4,1.68,6.72,0.84,6.72
12.2,9.76,7.32,2.44,2.44,12.2,0.0,4.88,2.44,9.76,2.44,7.32,7.32,0.0,7.32,4.88,4.88,0.0,0.0,2.44
3.72,2.01,6.33,6.93,6.83,3.92,1.81,9.25,10.45,7.04,1.71,7.34,2.81,2.11,3.52,7.84,3.62,5.93,1.31,5.53
2.65,0.66,9.93,7.28,5.3,3.31,0.66,11.92,8.61,9.93,2.65,7.95,1.32,2.65,3.31,3.97,2.65,9.27,1.32,4.64
7.89,0.88,5.26,3.8,3.22,9.06,4.09,3.22,3.22,5.26,2.05,5.56,8.19,5.56,6.14,7.31,6.14,6.73,0.88,5.56
4.46,3.12,6.7,9.82,5.8,3.12,1.34,9.38,8.04,6.7,4.02,4.91,4.02,2.23,2.23,4.02,4.46,4.46,0.45,10.71
24.62,0.0,6.15,10.77,3.08,0.0,3.08,3.08,4.62,9.23,4.62,3.08,1.54,1.54,13.85,6.15,0.0,4.62,0.0,0.0
4.63,10.19,4.63,5.56,1.85,3.7,1.85,1.85,6.48,10.19,1.85,2.78,9.26,0.93,6.48,4.63,11.11,5.56,1.85,4.63
5.88,0.0,2.94,4.9,2.94,6.86,4.9,4.9,3.92,6.86,1.96,6.86,3.92,8.82,3.92,13.73,4.9,8.82,0.0,2.94
6.76,10.81,1.35,2.7,4.05,12.16,4.05,5.41,1.35,8.11,2.7,2.7,2.7,2.7,13.51,4.05,2.7,8.11,0.0,4.05
15.53,1.94,3.88,8.74,2.91,6.8,2.91,5.83,2.91,11.65,4.85,0.0,3.88,1.94,12.62,0.97,3.88,3.88,0.97,3.88
8.57,7.14,2.86,14.29,4.29,4.29,2.86,2.86,4.29,5.71,5.71,5.71,7.14,0.0,4.29,7.14,0.0,10.0,0.0,2.86
